mode,size,req_id,t0,t_req,t_res,t_in,t_out,perf_base_ns,epoch_base_ns,req_size_bytes,res_size_bytes
grpc,10,9496e4de111fe311,90911321716167,90911324024125,90911325998250,90911325502209,90911325658417,90910014251917,1747938309475800000,2,1000
grpc,10,d222a0e335ef58e2,90911455418584,90911457908917,90911459953000,90911459453792,90911459599375,90910014251917,1747938309475800000,2,1000
grpc,10,32a24e8676d6ec84,90911590995125,90911593370625,90911595560792,90911595048459,90911595198917,90910014251917,1747938309475800000,2,1000
grpc,10,ff23d7a765449bf8,90911725158167,90911727456792,90911729541084,90911729032750,90911729191875,90910014251917,1747938309475800000,2,1000
grpc,10,8ced1893cea33ead,90911859264792,90911861596500,90911863566375,90911863068667,90911863226167,90910014251917,1747938309475800000,2,1000
grpc,10,3731600b2d4b41ef,90911994113167,90911996495459,90911998585834,90911998083375,90911998226584,90910014251917,1747938309475800000,2,1000
grpc,10,115f399f5df7ddb3,90912129696375,90912132200209,90912134215334,90912133719625,90912133862709,90910014251917,1747938309475800000,2,1000
grpc,10,078be49d0121e720,90912264549084,90912266857959,90912268953542,90912268447209,90912268584334,90910014251917,1747938309475800000,2,1000
grpc,10,795233a84db004e5,90912398783167,90912401085834,90912403101709,90912402613500,90912402766417,90910014251917,1747938309475800000,2,1000
grpc,10,5718fdbab7b518c7,90912533292542,90912535572084,90912537577084,90912537075542,90912537218834,90910014251917,1747938309475800000,2,1000
grpc,10,8254abd4a598387a,90912667161542,90912669505750,90912671541250,90912671028000,90912671160542,90910014251917,1747938309475800000,2,1000
grpc,10,49704b7a159d03c6,90912801358750,90912803970000,90912806032959,90912805499834,90912805629084,90910014251917,1747938309475800000,2,1000
grpc,10,524680a4fa4dcae7,90912939483542,90912941796417,90912943819000,90912943324625,90912943477084,90910014251917,1747938309475800000,2,1000
grpc,10,673882eeaf1cdff3,90913073564625,90913075928834,90913078005584,90913077447250,90913077587209,90910014251917,1747938309475800000,2,1000
grpc,10,9abc4003ebbfd198,90913207449709,90913209748125,90913211732250,90913211244000,90913211383875,90910014251917,1747938309475800000,2,1000
grpc,10,9db86bf2fccdfa91,90913341789750,90913344175709,90913346298792,90913345778625,90913345926000,90910014251917,1747938309475800000,2,1000
