protocol,size,usage_side,ts,rss,cpu,perf_base_ns,epoch_base_ns
rest_proto,1000,client,38453691156458,31739904,1.8,38437135410541,1747489152231298000
rest_proto,1000,client,38453692452708,32002048,2.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453693740416,32186368,2.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453695027666,32481280,2.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453696315416,32653312,2.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453697602416,32776192,2.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453698891458,32886784,1.5,38437135410541,1747489152231298000
rest_proto,1000,client,38453700194000,32874496,1.5,38437135410541,1747489152231298000
rest_proto,1000,client,38453701502875,32993280,1.9,38437135410541,1747489152231298000
rest_proto,1000,client,38453702796083,33001472,0.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453704100708,33304576,1.4,38437135410541,1747489152231298000
rest_proto,1000,client,38453705419041,33312768,1.1,38437135410541,1747489152231298000
rest_proto,1000,client,38453706754041,33312768,0.0,38437135410541,1747489152231298000
rest_proto,1000,client,38453708074541,33333248,4.1,38437135410541,1747489152231298000
rest_proto,1000,client,38453709398583,33333248,0.0,38437135410541,1747489152231298000
rest_proto,1000,client,38453710705458,33349632,5.7,38437135410541,1747489152231298000
rest_proto,1000,client,38453712017375,33349632,2.1,38437135410541,1747489152231298000
rest_proto,1000,client,38453713326291,33349632,0.0,38437135410541,1747489152231298000
rest_proto,1000,client,38453714637375,33349632,5.7,38437135410541,1747489152231298000
rest_proto,1000,client,38453715934125,33488896,2.7,38437135410541,1747489152231298000
rest_proto,10000,client,38501634992166,18317312,0.0,38483960646000,1747489199054361000
rest_proto,10000,client,38501636359833,18583552,2.2,38483960646000,1747489199054361000
rest_proto,10000,client,38501637943958,18726912,2.0,38483960646000,1747489199054361000
rest_proto,10000,client,38501639237166,19001344,2.4,38483960646000,1747489199054361000
rest_proto,10000,client,38501640530375,19288064,2.4,38483960646000,1747489199054361000
rest_proto,10000,client,38501641820750,19685376,1.9,38483960646000,1747489199054361000
rest_proto,10000,client,38501643114333,19972096,2.3,38483960646000,1747489199054361000
rest_proto,10000,client,38501644412583,20131840,2.6,38483960646000,1747489199054361000
rest_proto,10000,client,38501645705375,20393984,1.5,38483960646000,1747489199054361000
rest_proto,10000,client,38501646999958,20975616,2.3,38483960646000,1747489199054361000
rest_proto,10000,client,38501648289416,21159936,2.5,38483960646000,1747489199054361000
rest_proto,10000,client,38501649575625,21311488,2.4,38483960646000,1747489199054361000
rest_proto,10000,client,38501650861500,21577728,2.3,38483960646000,1747489199054361000
rest_proto,10000,client,38501652148291,21622784,2.4,38483960646000,1747489199054361000
